"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Fanpage Aliansi Nasionalis, Penebar Fitnah dan Pemecah Belah Umat http://t.co/unD0JzNoq6 #Opini",FALSE,0,NA,2015-04-03 04:50:10,FALSE,NA,"583853978909179905",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","dakwatuna",9,FALSE,FALSE,NA,NA
"2","Ketua IKADI: Islam Itu Moderat, Bukan Liberal http://t.co/OL1gCoeisE #Nasional",FALSE,0,NA,2015-04-03 03:20:07,FALSE,NA,"583831317151789056",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","dakwatuna",14,FALSE,FALSE,NA,NA
"3","‘Situs Panjimas dan Dakwatuna, Biasa-biasa Saja’ http://t.co/0DtZwfQTH9 #Nasional",FALSE,1,NA,2015-04-03 03:09:34,FALSE,NA,"583828660060164097",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","dakwatuna",5,FALSE,FALSE,NA,NA
"4","Innalillahi, Seniman Betawi Mpok Nori Meninggal Dunia http://t.co/TUZ5HfFHpo #Nasional",FALSE,3,NA,2015-04-03 03:05:14,FALSE,NA,"583827569323057153",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","dakwatuna",32,FALSE,FALSE,NA,NA
"5","Penelitian: Islam Jadi Agama Terbesar Dunia pada 2070 http://t.co/96dzIMxtxm #Eropa",FALSE,8,NA,2015-04-03 02:44:07,FALSE,NA,"583822255513174016",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","dakwatuna",14,FALSE,FALSE,NA,NA
"6","Surat Terbuka, Bukti Kekecewaan Loyalis Jokowi http://t.co/0yowZzC7Mt #Nasional",FALSE,2,NA,2015-04-02 16:43:07,FALSE,NA,"583671011247169536",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","dakwatuna",8,FALSE,FALSE,NA,NA
"7","84 Bus Anti Islam Telah Beroperasi di Philadelphia http://t.co/rpkg9wgAGK #Amerika",FALSE,0,NA,2015-04-02 16:29:35,FALSE,NA,"583667602393702401",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","dakwatuna",8,FALSE,FALSE,NA,NA
"8","Temukan Bukti Pemalsuan Tandatangan, Polisi Akan Tetapkan Dua Tersangka dari Kubu Agung Laksono http://t.co/JxJGDORLMW #Nasional",FALSE,2,NA,2015-04-02 16:16:06,FALSE,NA,"583664211491860483",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","dakwatuna",10,FALSE,FALSE,NA,NA
"9","Doa Denny Indrayana Usai Diperiksa Bareskrim Selama Delapan Jam http://t.co/T1hjyHkTp2 #Nasional",FALSE,0,NA,2015-04-02 15:54:04,FALSE,NA,"583658667536322562",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","dakwatuna",1,FALSE,FALSE,NA,NA
"10","Apakah Uang Lembur Saya Halal? http://t.co/ejfPflYf2a #KonsultasiZakat",FALSE,1,NA,2015-04-02 14:59:34,FALSE,NA,"583644951419813888",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","dakwatuna",3,FALSE,FALSE,NA,NA
