,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,localDateTime,hourOfDay,dayOfWeek,favoriteRatio,sentiment
1,"Fanpage Aliansi Nasionalis, Penebar Fitnah dan Pemecah Belah Umat http://t.co/unD0JzNoq6 #Opini",FALSE,0,NA,03/04/15 04:50,FALSE,NA,583853978909179905,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",dakwatuna,9,FALSE,FALSE,NA,NA,03/04/15 11:50,11,Fri,"0,00",negative
2,"Ketua IKADI: Islam Itu Moderat, Bukan Liberal http://t.co/OL1gCoeisE #Nasional",FALSE,0,NA,03/04/15 03:20,FALSE,NA,583831317151789056,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",dakwatuna,14,FALSE,FALSE,NA,NA,03/04/15 10:20,10,Fri,"0,00",neutral
3,"‘Situs Panjimas dan Dakwatuna, Biasa-biasa Saja’ http://t.co/0DtZwfQTH9 #Nasional",FALSE,1,NA,03/04/15 03:09,FALSE,NA,583828660060164097,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",dakwatuna,5,FALSE,FALSE,NA,NA,03/04/15 10:09,10,Fri,"0,20",neutral
4,"Innalillahi, Seniman Betawi Mpok Nori Meninggal Dunia http://t.co/TUZ5HfFHpo #Nasional",FALSE,3,NA,03/04/15 03:05,FALSE,NA,583827569323057153,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",dakwatuna,32,FALSE,FALSE,NA,NA,03/04/15 10:05,10,Fri,"0,09",neutral
5,Penelitian: Islam Jadi Agama Terbesar Dunia pada 2070 http://t.co/96dzIMxtxm #Eropa,FALSE,8,NA,03/04/15 02:44,FALSE,NA,583822255513174016,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",dakwatuna,14,FALSE,FALSE,NA,NA,03/04/15 09:44,9,Fri,"0,57",positive
6,"Surat Terbuka, Bukti Kekecewaan Loyalis Jokowi http://t.co/0yowZzC7Mt #Nasional",FALSE,2,NA,02/04/15 16:43,FALSE,NA,583671011247169536,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",dakwatuna,8,FALSE,FALSE,NA,NA,02/04/15 23:43,23,Thu,"0,25",negative
7,84 Bus Anti Islam Telah Beroperasi di Philadelphia http://t.co/rpkg9wgAGK #Amerika,FALSE,0,NA,02/04/15 16:29,FALSE,NA,583667602393702401,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",dakwatuna,8,FALSE,FALSE,NA,NA,02/04/15 23:29,23,Thu,"0,00",negative
8,"Temukan Bukti Pemalsuan Tandatangan, Polisi Akan Tetapkan Dua Tersangka dari Kubu Agung Laksono http://t.co/JxJGDORLMW #Nasional",FALSE,2,NA,02/04/15 16:16,FALSE,NA,583664211491860483,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",dakwatuna,10,FALSE,FALSE,NA,NA,02/04/15 23:16,23,Thu,"0,20",negative
9,Doa Denny Indrayana Usai Diperiksa Bareskrim Selama Delapan Jam http://t.co/T1hjyHkTp2 #Nasional,FALSE,0,NA,02/04/15 15:54,FALSE,NA,583658667536322562,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",dakwatuna,1,FALSE,FALSE,NA,NA,02/04/15 22:54,22,Thu,"0,00",neutral
10,Apakah Uang Lembur Saya Halal? http://t.co/ejfPflYf2a #KonsultasiZakat,FALSE,1,NA,02/04/15 14:59,FALSE,NA,583644951419813888,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",dakwatuna,3,FALSE,FALSE,NA,NA,02/04/15 21:59,21,Thu,"0,33",neutral
