"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Dukun Muda Pengganda Uang juga Jadi Langganan Pemandu Karaoke http://t.co/teUCxweNWH",FALSE,0,NA,2015-04-02 17:16:24,FALSE,NA,"583679386945093633",NA,"<a href=""http://my.kompas.com"" rel=""nofollow"">MyKompas</a>","kompascom",1,FALSE,FALSE,NA,NA
"2","Kawanan Maling Gasak Komputer dan Ponsel di Gerai Samsung Service http://t.co/MjGvGx01uS",FALSE,1,NA,2015-04-02 16:56:22,FALSE,NA,"583674346041839617",NA,"<a href=""http://my.kompas.com"" rel=""nofollow"">MyKompas</a>","kompascom",3,FALSE,FALSE,NA,NA
"3","Kenangan Dian Pelangi Main Sepak Bola http://t.co/fODmXm1D3N",FALSE,0,NA,2015-04-02 16:56:12,FALSE,NA,"583674301984800769",NA,"<a href=""http://my.kompas.com"" rel=""nofollow"">MyKompas</a>","kompascom",1,FALSE,FALSE,NA,NA
"4","Sean Gelael Siap Beraksi di Formula Renault 3.5 http://t.co/mRJm9LwULW",FALSE,2,NA,2015-04-02 16:31:59,FALSE,NA,"583668208722321409",NA,"<a href=""http://my.kompas.com"" rel=""nofollow"">MyKompas</a>","kompascom",0,FALSE,FALSE,NA,NA
"5","Ditemukan Kotak Hitam Kedua Germanwings http://t.co/F9sOh9Cdrp",FALSE,2,NA,2015-04-02 16:29:58,FALSE,NA,"583667700087398400",NA,"<a href=""http://my.kompas.com"" rel=""nofollow"">MyKompas</a>","kompascom",2,FALSE,FALSE,NA,NA
"6","Atep Sedih soal Kasus Korupsi Stadion Gelora Bandung Lautan Api http://t.co/LcQfP7FweD",FALSE,3,NA,2015-04-02 16:28:02,FALSE,NA,"583667215548882947",NA,"<a href=""http://my.kompas.com"" rel=""nofollow"">MyKompas</a>","kompascom",10,FALSE,FALSE,NA,NA
"7","BPS: Kenaikan Harga Elpiji 12 Kg Tak Banyak Berpengaruh pada Inflasi April http://t.co/Y9lkArdBA8",FALSE,5,NA,2015-04-02 16:23:59,FALSE,NA,"583666195808694272",NA,"<a href=""http://my.kompas.com"" rel=""nofollow"">MyKompas</a>","kompascom",3,FALSE,FALSE,NA,NA
"8","Harry Kane Akan Tampil di Piala Eropa U-21 http://t.co/UgrTveh8tT",FALSE,3,NA,2015-04-02 16:19:53,FALSE,NA,"583665161254240256",NA,"<a href=""http://my.kompas.com"" rel=""nofollow"">MyKompas</a>","kompascom",4,FALSE,FALSE,NA,NA
"9","2 Remaja diperkosa di Badaun India http://t.co/XLZapcK8NM",FALSE,3,NA,2015-04-02 16:09:48,FALSE,NA,"583662625902366720",NA,"<a href=""http://my.kompas.com"" rel=""nofollow"">MyKompas</a>","kompascom",2,FALSE,FALSE,NA,NA
"10","Ditanya soal Saran KPK Terhadap Sistem ""Payment Gateway"", Ini Jawaban Denny Indrayana http://t.co/8ozxK3xIeB",FALSE,0,NA,2015-04-02 16:03:57,FALSE,NA,"583661154183938048",NA,"<a href=""http://my.kompas.com"" rel=""nofollow"">MyKompas</a>","kompascom",3,FALSE,FALSE,NA,NA
