"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","5 Rekan Impian Eden Hazard http://t.co/qMZG3T82vW http://t.co/i6Xv35NfFi",FALSE,0,NA,2015-04-02 17:16:21,FALSE,NA,"583679373200482305",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",0,FALSE,FALSE,NA,NA
"2","Rooney: Jangan Terbuai Kemenangan Atas Liverpool http://t.co/AvMYsPebB1 http://t.co/G8i45RoLge",FALSE,2,NA,2015-04-02 17:06:06,FALSE,NA,"583676794995351552",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",9,FALSE,FALSE,NA,NA
"3","Denny Indrayana Lega Tak Ditahan http://t.co/UqMWUsjBxT http://t.co/nRsenvJG9Z",FALSE,2,NA,2015-04-02 17:02:54,FALSE,NA,"583675990288769024",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",2,FALSE,FALSE,NA,NA
"4","Marilyn Manson akan Tur Keliling Amerika Bareng Smashing Pumpkins http://t.co/N3iB8oj7iV http://t.co/9z572AuZyG",FALSE,1,NA,2015-04-02 16:50:24,FALSE,NA,"583672843491221504",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",7,FALSE,FALSE,NA,NA
"5","Peringati Kamis Putih, 4.000 Jemaat Padati Katedral Jakarta http://t.co/l33pJAL1Tr http://t.co/p9xWVkCPVs",FALSE,4,NA,2015-04-02 16:42:44,FALSE,NA,"583670915097067520",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",7,FALSE,FALSE,NA,NA
"6","Xiah Junsu Minta Restu Fans untuk Menikah http://t.co/y7NXXq0uTg http://t.co/wTUyZKLfYv",FALSE,3,NA,2015-04-02 16:39:30,FALSE,NA,"583670097669128192",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",1,FALSE,FALSE,NA,NA
"7","Bek Baru Madrid Dinilai Mirip Dani Alves  http://t.co/lsRaifxBZ5 http://t.co/I0N3NwXrcv",FALSE,1,NA,2015-04-02 16:36:55,FALSE,NA,"583669451163328514",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",3,FALSE,FALSE,NA,NA
"8","Terancam Cadangan Abadi, Arbeloa Ogah Tinggalkan Madrid  http://t.co/eaQ7o791ao http://t.co/8QWUmYoeWM",FALSE,2,NA,2015-04-02 16:25:03,FALSE,NA,"583666463950647296",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",4,FALSE,FALSE,NA,NA
"9","Diperiksa 8 Jam, Denny Indrayana Dicecar 34 Pertanyaan http://t.co/wIOp0YYuLC http://t.co/EnfThAv3jO",FALSE,4,NA,2015-04-02 16:19:36,FALSE,NA,"583665091729616896",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",4,FALSE,FALSE,NA,NA
"10","Dalam 12 Jam, Video Baru EXO Ditonton 4 Juta Orang http://t.co/EMLFW8yQZX http://t.co/MwP9o79xnf",FALSE,3,NA,2015-04-02 16:06:48,FALSE,NA,"583661868771840000",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",8,FALSE,FALSE,NA,NA
"11","BoA Rayakan Eksistensi Selama 15 Tahun dengan Karya Spesial http://t.co/CouoLk3t52 http://t.co/xLt6yoKQ89",FALSE,8,NA,2015-04-02 15:55:48,FALSE,NA,"583659101231702016",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",7,FALSE,FALSE,NA,NA
"12","Bawa 46,5 Kg Sabu ke Pekanbaru, Warga Malaysia Dibekuk Polisi http://t.co/giBVIeCuAX http://t.co/aTz8z1mZqJ",FALSE,7,NA,2015-04-02 15:48:01,FALSE,NA,"583657143628394496",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",9,FALSE,FALSE,NA,NA
"13","Performa Jeblok Gerrard Dibela Wenger  http://t.co/HjGFzMQBOB http://t.co/Tuo6JZb1va",FALSE,4,NA,2015-04-02 15:41:30,FALSE,NA,"583655502330093568",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",6,FALSE,FALSE,NA,NA
"14","Pongky Barata Paksa Shaheer Sheikh Nyanyi Lagu Indonesia http://t.co/hmGTGufRox http://t.co/RZEZqesIJj",FALSE,7,NA,2015-04-02 15:37:52,FALSE,NA,"583654587804037120",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",3,FALSE,FALSE,NA,NA
"15","Begini Cara Barack Obama Kelola Stres Saat Pimpin AS http://t.co/Dy8ZBVwrXh http://t.co/eJrd3gsnk3",FALSE,4,NA,2015-04-02 15:36:05,FALSE,NA,"583654138942197760",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",7,FALSE,FALSE,NA,NA
"16","Lihat Aksi Ed Sheeran Nyanyi Bareng Sesame Street http://t.co/WbOrSInpe8 http://t.co/k3bKxZuBb9",FALSE,1,NA,2015-04-02 15:33:25,FALSE,NA,"583653470185594880",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",5,FALSE,FALSE,NA,NA
"17","7 Hari Olga Syahputra, Keluarga Dapat Bantuan Keamanan dari FPI http://t.co/WbB2kOnScF http://t.co/xffF3lAFq5",FALSE,24,NA,2015-04-02 15:22:05,FALSE,NA,"583650618390220800",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",25,FALSE,FALSE,NA,NA
"18","Al Qaeda Bobol Penjara Yaman, Pemberontak Kuasai Pusat Kota Aden  http://t.co/3mpSHy0c4H http://t.co/ZMOwDvmyug",FALSE,4,NA,2015-04-02 15:18:36,FALSE,NA,"583649740555948032",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",7,FALSE,FALSE,NA,NA
"19","Kabareskrim: Kesaksian KPK jadi Petunjuk Korupsi Denny Indrayana http://t.co/twQIgSBCmD http://t.co/hiqjv7LMvu",FALSE,0,NA,2015-04-02 15:17:45,FALSE,NA,"583649528424898560",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",5,FALSE,FALSE,NA,NA
"20","7 Hari Olga Syahputra Meninggal, Keluarga Undang 300 Anak Yatim http://t.co/ebECzhg71B http://t.co/laftsv6W3E",FALSE,20,NA,2015-04-02 15:04:30,FALSE,NA,"583646191755386881",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",18,FALSE,FALSE,NA,NA
"21","Wenger Bantah Tegas Minati Bintang Palermo http://t.co/YUraKiLl2H http://t.co/F4IamVveAq",FALSE,3,NA,2015-04-02 15:01:38,FALSE,NA,"583645470121156610",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",3,FALSE,FALSE,NA,NA
"22","Tanpa Paris Hilton, Kim Kardashian Tak Bisa Raih Popularitas? http://t.co/ebpNQqEwd6 http://t.co/Qg8e2wJ37D",FALSE,6,NA,2015-04-02 14:55:36,FALSE,NA,"583643952206741504",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",6,FALSE,FALSE,NA,NA
"23","Video Heboh : Acungi Fans Jari Tengah, Pemain Ini Diusir Wasit http://t.co/eNWsiz1TGi",FALSE,6,NA,2015-04-02 14:53:43,FALSE,NA,"583643477638000640",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",0,FALSE,FALSE,NA,NA
"24","Dortmund Berharap Reus dan Hummels Bertahan http://t.co/8wCqZ9T2pv http://t.co/RFeTAi8Qma",FALSE,3,NA,2015-04-02 14:41:45,FALSE,NA,"583640467394404352",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible</a>","liputan6dotcom",5,FALSE,FALSE,NA,NA
