"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Katakanlah Aamiin atau Retweet, jika doa malam ini adalah doa Anda juga. Love you! ☺☺☺ http://t.co/aHspfGul9Q",FALSE,293,NA,2015-04-02 14:50:36,FALSE,NA,"583642692686487552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MTLovenHoney",819,FALSE,FALSE,NA,NA
"2","Hidupnya masih susah, tapi kalau dinasihati, dia bilang hidup gak semudah omongan. Di situ kadang saya merasa sedih.",FALSE,227,NA,2015-04-02 14:18:04,FALSE,NA,"583634507191848960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MTLovenHoney",556,FALSE,FALSE,NA,NA
"3","Jadi, orang yang bilang hidup gak semudah kata2 Mario Teguh itu BENAR. Kalau mau gampang saja, saya akan tetap miskin seperti dulu.",FALSE,198,NA,2015-04-02 13:58:40,FALSE,NA,"583629626502553601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MTLovenHoney",373,FALSE,FALSE,NA,NA
"4","Kemudian beasiswa ke Jepang, terus beasiswa S2 bisnis di Amerika, lalu karir di perbankan, kemudian berbisnis sendiri.",FALSE,143,NA,2015-04-02 13:57:02,FALSE,NA,"583629214038917121",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MTLovenHoney",161,FALSE,FALSE,NA,NA
"5","Saya ingin sekolah di Amerika, tapi ekonomi tidak memungkinkan, jadi saya cari beasiswa. Dapat 1 tahun SMA di Chicago.",FALSE,130,NA,2015-04-02 13:52:58,FALSE,NA,"583628190821658624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MTLovenHoney",161,FALSE,FALSE,NA,NA
"6","Saya dulu mbetik (nakal), tapi pekerja keras, manis sekali kepada yang lebih tua, tekun mendengarkan dan segera mempraktikkan nasihat.",FALSE,171,NA,2015-04-02 13:46:13,FALSE,NA,"583626491402948609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MTLovenHoney",256,FALSE,FALSE,NA,NA
"7","Penampilan baik adalah pembuka kesempatan baik. Mario Teguh",FALSE,193,NA,2015-04-02 13:40:45,FALSE,NA,"583625114777825280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MTLovenHoney",473,FALSE,FALSE,NA,NA
"8","Pakaian saya sedikit, tapi saya pastikan bersih, rapih, dan warnanya terkordinasi dengan baik.",FALSE,162,NA,2015-04-02 13:39:22,FALSE,NA,"583624768290553857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MTLovenHoney",291,FALSE,FALSE,NA,NA
"9","Sebagai anak muda yang ekonominya terbatas, saya tidak ingin menjadi sebab orang lain memperlakukan saya sebagai orang murahan.",FALSE,225,NA,2015-04-02 13:32:57,FALSE,NA,"583623151340294144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MTLovenHoney",586,FALSE,FALSE,NA,NA
"10","Saat saya masih muda dan serba kekurangan dulu, saya sudah berhati-hati dalam memelihara selera baik dalam penampilan.",FALSE,167,NA,2015-04-02 13:26:32,FALSE,NA,"583621536130539520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MTLovenHoney",276,FALSE,FALSE,NA,NA
