"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Wah, Usia Sudah 61 Tahun, Nenek Ini Nekat Main Film Porno http://t.co/GjWzCLMku3 http://t.co/lrXuV5TplQ",FALSE,0,NA,2015-04-02 17:10:15,FALSE,NA,"583677838487719937",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"2","Lelucon April Mop Google Bikin Dunia Terbalik http://t.co/GjWzCLMku3 http://t.co/c7iCcFBHnF",FALSE,0,NA,2015-04-02 17:05:15,FALSE,NA,"583676579538042880",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"3","Beli Mobil Semudah Membeli iPad http://t.co/SFl2aYjWtr http://t.co/cOzcmF6Nfd",FALSE,0,NA,2015-04-02 17:00:20,FALSE,NA,"583675341115265024",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"4","Ribuan Kerangka Manusia Ditemukan di Bawah Kampus di Inggris http://t.co/CKtgeHfj2n http://t.co/wV4e5UzQOP",FALSE,0,NA,2015-04-02 16:55:13,FALSE,NA,"583674055070318593",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"5","Waspadai Beras yang Terlalu Putih http://t.co/CRQQcUtItS http://t.co/hENPVfTEmr",FALSE,0,NA,2015-04-02 16:50:16,FALSE,NA,"583672809047494656",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"6","Wow, 'Calo' Banderol Tiket Mayweather-Pacquiao Rp1,1 Miliar http://t.co/MgR6nWFqXF http://t.co/WVhgmTogIM",FALSE,0,NA,2015-04-02 16:45:05,FALSE,NA,"583671502865727488",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"7","Ini Sumber Inspirasi Lagu Terbaru Karya @maudyayunda @MaudearsAyunda http://t.co/frbrWhFMtO http://t.co/B3L6JCHxTs",FALSE,0,NA,2015-04-02 16:40:07,FALSE,NA,"583670253764222976",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"8","Air Tanah Dekat Pabrik Nata de Coco Berbahan Pupuk Tercemar http://t.co/4pHfSzOzjk http://t.co/cFLCdNfA7H",FALSE,0,NA,2015-04-02 16:35:06,FALSE,NA,"583668992830676992",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"9","Sean Gelael Ingin Jadi Pebalap Indonesia Pertama di F1 http://t.co/FdOr7WpApF http://t.co/DbeCzD8a1K",FALSE,0,NA,2015-04-02 16:32:52,FALSE,NA,"583668431922274305",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"10","Pemilik: Buat Nata de Coco Pakai Pupuk Itu Sudah Biasa http://t.co/kb7tAXIK23 http://t.co/JhkrRTzdzm",FALSE,1,NA,2015-04-02 16:30:19,FALSE,NA,"583667789874888705",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",1,FALSE,FALSE,NA,NA
"11","Mengenal Kedai 24, Restoran 'Porno' di Yogyakarta http://t.co/ctol7p8wUl http://t.co/TFgdZ0sine",FALSE,0,NA,2015-04-02 16:25:15,FALSE,NA,"583666514219311105",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"12","PT Liga: Arema dan Persebaya Tetap Jadi Peserta ISL http://t.co/bZLkROpxjz http://t.co/mIbaxzVXNy",FALSE,0,NA,2015-04-02 16:20:04,FALSE,NA,"583665207664185346",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"13","Waspada Nata de Coco Berbahan Pupuk Kimia ada di Bekasi &amp; Bogor http://t.co/KHMNaBOHbY http://t.co/4HLsOpFhIS",FALSE,2,NA,2015-04-02 16:15:08,FALSE,NA,"583663969581207553",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",3,FALSE,FALSE,NA,NA
"14","Lelaki Ini Bergelar Profesor Vampir http://t.co/jHW71How7B http://t.co/m3k4T9aQlx",FALSE,1,NA,2015-04-02 16:10:06,FALSE,NA,"583662701131366401",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"15","Ahok Imbau Warga Gelar Pernikahan di Taman-taman DKI http://t.co/9P9CxGwRtz http://t.co/Cmp8twgNxD",FALSE,0,NA,2015-04-02 16:05:08,FALSE,NA,"583661451543318528",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"16","Begini Cara Membuat Nata de Coco Bercampur Pupuk di Yogyakarta http://t.co/pKduFJywgE http://t.co/YDTceqQMwh",FALSE,0,NA,2015-04-02 16:00:37,FALSE,NA,"583660312882085889",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"17","Inilah Tian Tian, Gadis Kecil Tercantik di Dunia http://t.co/TCbQxi2GfD http://t.co/gl57lJQrbX",FALSE,1,NA,2015-04-02 15:55:05,FALSE,NA,"583658922692616192",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"18","Messi Diragukan Tampil Perkuat Barcelona Akhir Pekan Ini @indoLionelMessi http://t.co/lbQq4XBPjZ",FALSE,0,NA,2015-04-02 15:50:06,FALSE,NA,"583657665781374977",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"19","Diperiksa Hampir 8 Jam, Cita Citata Dicecar 20 Pertanyaan http://t.co/KRPEetuFcf http://t.co/2nHVtnuniB",FALSE,0,NA,2015-04-02 15:47:56,FALSE,NA,"583657123374047232",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"20","Hakim Juga Vonis Guru JIS Ferdinand 10 Tahun Penjara http://t.co/Ya1why5HeV http://t.co/Pwo4wSbCof",FALSE,0,NA,2015-04-02 15:47:52,FALSE,NA,"583657105980334081",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"21","AC Milan Gandeng Hello Kitty @MilanistiOrId http://t.co/Up8w6WFvlc http://t.co/W2LlDf1kqG",FALSE,0,NA,2015-04-02 15:45:09,FALSE,NA,"583656420098191360",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"22","Lomba Tulisan, Cara PKS Ikut Andil Mencegah Radikalisme http://t.co/pnAsOpfYR8 http://t.co/7lnYdFZHwN",FALSE,0,NA,2015-04-02 15:40:08,FALSE,NA,"583655157688180736",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"23","Diam-diam Nia Daniati Ziarah ke Makam Olga http://t.co/YQcSSB5DM4 http://t.co/GMt613N8en",FALSE,0,NA,2015-04-02 15:35:12,FALSE,NA,"583653917252128769",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"24","Dua Klub Belum Bayar Gaji Pelatih Persiba http://t.co/p3sBoilygO http://t.co/U5CagOXypg",FALSE,0,NA,2015-04-02 15:30:25,FALSE,NA,"583652713973460993",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"25","Sekjen PBSI Masuk Bursa Presiden BAC http://t.co/9XkoHFhagZ http://t.co/vZWIyE1S2D",FALSE,0,NA,2015-04-02 15:25:06,FALSE,NA,"583651377231966208",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"26","Minum Jamu Sejak Kecil, Puan Maharani Akui Awalnya Dipaksa Ibu http://t.co/goGy1xr74y http://t.co/ck6dBoJtag",FALSE,0,NA,2015-04-02 15:20:08,FALSE,NA,"583650126599557122",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"27","Peserta Kurang dari 18, ISL Tak Bisa Jalan http://t.co/0yRvRuq0kw http://t.co/WRhGV8fub6",FALSE,0,NA,2015-04-02 15:15:15,FALSE,NA,"583648896422805504",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","suaradotcom",0,FALSE,FALSE,NA,NA
