"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Hingga Dini Hari Kalimalang Masih Macet http://t.co/FTJ6vCnxTB http://t.co/DLSuJpQ15J",FALSE,1,NA,2015-04-02 17:21:24,FALSE,NA,"583680645261459456",NA,"<a href=""http://viva.co.id"" rel=""nofollow"">VIVA.co.id</a>","VIVAnews",6,FALSE,FALSE,NA,NA
"2","KPAI Apresiasi Putusan Pengadilan Atas Kasus JIS http://t.co/8SOJZg3odV http://t.co/5ggYlPs5Nt",FALSE,0,NA,2015-04-02 17:19:30,FALSE,NA,"583680167635062786",NA,"<a href=""http://viva.co.id"" rel=""nofollow"">VIVA.co.id</a>","VIVAnews",4,FALSE,FALSE,NA,NA
"3","RT @VIVAbola: Klub Ini Bakal Terapkan Pendidikan Seks Saat Latihan http://t.co/HhE1ft5x3b http://t.co/x5WWnAOwnS",FALSE,1,NA,2015-04-02 17:11:25,FALSE,NA,"583678132990808064",NA,"<a href=""http://viva.co.id"" rel=""nofollow"">VIVA.co.id</a>","VIVAnews",4,FALSE,FALSE,NA,NA
"4","RT @VIVAbola: Usai Injak De Gea, Skrtel Tendang Muka Pemain Republik Ceko http://t.co/4zolRD6La3 http://t.co/gV8MfHOV4T",FALSE,0,NA,2015-04-02 17:05:27,FALSE,NA,"583676629953613824",NA,"<a href=""http://viva.co.id"" rel=""nofollow"">VIVA.co.id</a>","VIVAnews",7,FALSE,FALSE,NA,NA
"5","RT @VIVAbola: Arsenal Bantah Coba Datangkan 'Aguero Baru' ke London http://t.co/S1Dhsetkeg http://t.co/iWmmhl6uI3",FALSE,2,NA,2015-04-02 17:05:25,FALSE,NA,"583676623469162496",NA,"<a href=""http://viva.co.id"" rel=""nofollow"">VIVA.co.id</a>","VIVAnews",5,FALSE,FALSE,NA,NA
"6","Polda Riau Sita 46,5 Kg Sabu dari Jaringan Internasional http://t.co/6AEBGxNviy http://t.co/fOh4iPfW82",FALSE,4,NA,2015-04-02 16:45:24,FALSE,NA,"583671586378514432",NA,"<a href=""http://viva.co.id"" rel=""nofollow"">VIVA.co.id</a>","VIVAnews",14,FALSE,FALSE,NA,NA
"7","RT @VIVAbola: Bayern Kembali Kehilangan Satu Bintang Jelang Der Klassiker http://t.co/Ym8ZJwEnP0 http://t.co/aukYuLypkL",FALSE,2,NA,2015-04-02 16:39:26,FALSE,NA,"583670083697926145",NA,"<a href=""http://viva.co.id"" rel=""nofollow"">VIVA.co.id</a>","VIVAnews",7,FALSE,FALSE,NA,NA
"8","RT @VIVAbola: Mourinho Punya Peluang Kembali ke Real Madrid http://t.co/ZGnuOHCp4b http://t.co/WlhugdbofA",FALSE,3,NA,2015-04-02 16:37:25,FALSE,NA,"583669577277509632",NA,"<a href=""http://viva.co.id"" rel=""nofollow"">VIVA.co.id</a>","VIVAnews",9,FALSE,FALSE,NA,NA
"9","Sukandar Jadi Dirut KRAS, Operasi Pabrik Hulu Dihentikan http://t.co/3YPM54k69B http://t.co/mf5SQMJUHj",FALSE,2,NA,2015-04-02 16:23:26,FALSE,NA,"583666054490001408",NA,"<a href=""http://viva.co.id"" rel=""nofollow"">VIVA.co.id</a>","VIVAnews",4,FALSE,FALSE,NA,NA
"10","Pembunuh Istri Mantan Ketua MUI Pernah Bunuh Waria http://t.co/TMMsT5k11X http://t.co/MFq51XugMe",FALSE,0,NA,2015-04-02 16:21:25,FALSE,NA,"583665549063757824",NA,"<a href=""http://viva.co.id"" rel=""nofollow"">VIVA.co.id</a>","VIVAnews",5,FALSE,FALSE,NA,NA
